dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
gsm8k,70,-0.258805513016845,0.02,0.054160285860132724,1306,30,0.23880551301684502,random
gsm8k,71,0.003828483920367,0.02,0.929122001020929,1306,30,0.016171516079633,random
gsm8k,72,-0.18606431852986202,0.02,0.08999489535477284,1306,30,0.16606431852986203,random
gsm8k,73,-0.13399693721286302,0.02,0.14088820826952525,1306,30,0.11399693721286301,random
gsm8k,74,-0.049770290964777,0.02,0.6583205717202655,1306,30,0.029770290964777003,random
gsm8k,75,-0.013782542113323,0.02,0.9878764675855028,1306,30,0.006217457886677,random
gsm8k,76,0.103369065849923,0.02,0.21263399693721288,1306,30,0.083369065849923,random
gsm8k,77,0.500765696784073,0.02,0.024808575803981624,1306,30,0.480765696784073,random
gsm8k,78,0.03292496171516,0.02,0.8854262378764676,1306,30,0.012924961715160003,random
gsm8k,79,-0.043644716692189,0.02,0.7267228177641655,1306,30,0.023644716692189,random
gsm8k,80,0.13399693721286302,0.02,0.1527565084226646,1306,30,0.11399693721286301,random
gsm8k,81,-0.116385911179173,0.02,0.2041602858601327,1306,30,0.096385911179173,random
gsm8k,82,0.385911179173047,0.02,0.03591117917304747,1306,30,0.365911179173047,random
gsm8k,83,-0.043644716692189,0.02,0.7715416028586013,1306,30,0.023644716692189,random
gsm8k,84,-0.131699846860643,0.02,0.16276161306789177,1306,30,0.111699846860643,random
gsm8k,85,-0.154670750382848,0.02,0.11955079122001021,1306,30,0.134670750382848,random
gsm8k,86,0.24349157733537502,0.02,0.05918836140888208,1306,30,0.22349157733537503,random
gsm8k,87,0.131699846860643,0.02,0.1503318019397652,1306,30,0.111699846860643,random
gsm8k,88,-0.251914241960183,0.02,0.05990301174068402,1306,30,0.23191424196018304,random
gsm8k,89,0.123277182235834,0.02,0.14374680959673303,1306,30,0.103277182235834,random
gsm8k,90,0.021439509954058,0.02,0.9953292496171516,1306,30,0.0014395099540580013,random
gsm8k,91,-0.23430321592649303,0.02,0.06962736089841756,1306,30,0.21430321592649304,random
gsm8k,92,-0.389739663093415,0.02,0.03563042368555385,1306,30,0.369739663093415,random
