case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N5000_q0.05_o0.004,5000,0.05,0.004,0.024,0.02,0.049423999999999996,direct_betting,300,0.8296533333333332,0,0.012220974694293552
N5000_q0.05_o0.004,5000,0.05,0.004,0.024,0.02,0.049423999999999996,eb_grid,300,0.925206,0,0.012220974694293552
N5000_q0.05_o0.004,5000,0.05,0.004,0.024,0.02,0.049423999999999996,planned_gaussian,300,0.5622186666666668,113,0.43416636827560456
N5000_q0.05_o0.01,5000,0.05,0.009999999999999001,0.03,0.02,0.049100000000000005,direct_betting,300,0.446616,0,0.012220974694293552
N5000_q0.05_o0.01,5000,0.05,0.009999999999999001,0.03,0.02,0.049100000000000005,eb_grid,300,0.6176913333333334,0,0.012220974694293552
N5000_q0.05_o0.01,5000,0.05,0.009999999999999001,0.03,0.02,0.049100000000000005,planned_gaussian,300,0.31978333333333336,109,0.4205636449942917
N5000_q0.05_o0.02,5000,0.05,0.02,0.04,0.02,0.048399999999999006,direct_betting,300,0.18871066666666667,0,0.012220974694293552
N5000_q0.05_o0.02,5000,0.05,0.02,0.04,0.02,0.048399999999999006,eb_grid,300,0.3173453333333333,0,0.012220974694293552
N5000_q0.05_o0.02,5000,0.05,0.02,0.04,0.02,0.048399999999999006,planned_gaussian,300,0.129054,116,0.4443396708777704
N5000_q0.3_o-0.002,5000,0.30000000000000004,0.002,0.018000000000000002,0.02,0.299676,direct_betting,300,0.9779066666666667,5,0.038463744964996424
N5000_q0.3_o-0.002,5000,0.30000000000000004,0.002,0.018000000000000002,0.02,0.299676,eb_grid,300,0.9968633333333334,0,0.012220974694293552
N5000_q0.3_o-0.002,5000,0.30000000000000004,0.002,0.018000000000000002,0.02,0.299676,planned_gaussian,300,0.981722,5,0.038463744964996424
N5000_q0.3_o-0.004,5000,0.30000000000000004,0.004,0.016,0.02,0.299744,direct_betting,300,0.9804793333333334,1,0.018431252048067885
N5000_q0.3_o-0.004,5000,0.30000000000000004,0.004,0.016,0.02,0.299744,eb_grid,300,0.9931386666666666,0,0.012220974694293552
N5000_q0.3_o-0.004,5000,0.30000000000000004,0.004,0.016,0.02,0.299744,planned_gaussian,300,0.988596,2,0.02387349757217365
N5000_q0.3_o-0.01,5000,0.30000000000000004,0.01,0.01,0.02,0.299899999999999,direct_betting,300,0.8648406666666667,0,0.012220974694293552
N5000_q0.3_o-0.01,5000,0.30000000000000004,0.01,0.01,0.02,0.299899999999999,eb_grid,300,0.9052020000000001,0,0.012220974694293552
N5000_q0.3_o-0.01,5000,0.30000000000000004,0.01,0.01,0.02,0.299899999999999,planned_gaussian,300,0.9191986666666666,3,0.028944511255692605
