dataset,method,epsilon,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction
truthfulqa,serfling_spending,0.01,3000,0.6511930641821947,0.6801242236024845,0,0.0,0.001
truthfulqa,serfling_spending,0.02,3000,0.6706283643892339,0.6801242236024845,0,0.0,0.011666666666666667
truthfulqa,serfling_spending,0.05,3000,0.7182582815734989,0.9394409937888198,0,0.0,0.037333333333333336
winogrande,completion,0.01,3000,0.952964274322169,0.9588516746411483,0,0.0,0.022333333333333334
winogrande,completion,0.02,3000,0.958568740031898,0.9674641148325359,0,0.0,0.027666666666666666
winogrande,completion,0.05,3000,0.9671690590111643,0.969377990430622,0,0.0,0.008666666666666666
winogrande,eb_grid,0.01,3000,0.6348848484848485,0.623444976076555,0,0.0,0.022333333333333334
winogrande,eb_grid,0.02,3000,0.6849218500797448,0.723444976076555,0,0.0,0.027666666666666666
winogrande,eb_grid,0.05,3000,0.7470593301435408,0.7947368421052632,0,0.0,0.008666666666666666
winogrande,eb_predictable,0.01,3000,0.596046889952153,0.5765550239234449,1,0.0003333333333333333,0.022333333333333334
winogrande,eb_predictable,0.02,3000,0.6520510366826157,0.7086124401913876,0,0.0,0.027666666666666666
winogrande,eb_predictable,0.05,3000,0.7235438596491228,0.8052631578947369,1,0.0003333333333333333,0.008666666666666666
winogrande,fixed_plugin_0.1,0.02,3000,0.10047846889952153,0.10047846889952153,762,0.254,0.0
winogrande,fixed_plugin_0.25,0.02,3000,0.2507177033492823,0.2507177033492823,478,0.15933333333333333,0.0
winogrande,fixed_plugin_0.5,0.02,3000,0.5004784688995215,0.5004784688995215,260,0.08666666666666667,0.0
winogrande,hoeffding_grid,0.01,3000,0.8102290271132377,0.8961722488038277,0,0.0,0.022333333333333334
winogrande,hoeffding_grid,0.02,3000,0.8438478468899522,0.9526315789473684,0,0.0,0.027666666666666666
winogrande,hoeffding_grid,0.05,3000,0.9014848484848484,0.9636363636363636,0,0.0,0.008666666666666666
winogrande,normal_peeking,0.01,3000,0.26892854864433813,0.12440191387559808,257,0.08566666666666667,0.006666666666666667
winogrande,normal_peeking,0.02,3000,0.3004800637958533,0.16555023923444975,223,0.07433333333333333,0.008666666666666666
winogrande,normal_peeking,0.05,3000,0.3097084529505582,0.20191387559808613,245,0.08166666666666667,0.006333333333333333
winogrande,separate_arm,0.02,3000,0.8399515151515152,0.9330143540669856,0,0.0,0.027666666666666666
winogrande,serfling_spending,0.01,3000,0.8778940988835726,0.9435406698564593,0,0.0,0.022333333333333334
winogrande,serfling_spending,0.02,3000,0.9017333333333333,0.9435406698564593,0,0.0,0.027666666666666666
winogrande,serfling_spending,0.05,3000,0.9350676236044657,0.9435406698564593,0,0.0,0.008666666666666666
